Viral protein,Human protein,Link,Supplementary,Reference,Useful information
M,AAR2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-9",
Nsp8,AATF,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-10",
Orf9c,ABCC1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-11",
Orf9c,ACAD9,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-12",
Nsp7,ACSL3,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-13",
Orf8,ADAM9,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-14",
Nsp7,AGPS,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-15",
Nsp12,AKAP8,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-16",
M,AKAP8L,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-17",
Nsp13,AKAP9,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-18",
Orf3a,ALG5,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-19",
Orf9c,ALG8,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-20",
M,ANO6,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-21",
Nsp10,AP2M1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-22",
Orf3a,ARL6IP6,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-23",
Nsp6,ATP13A3,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-24",
M,ATP1B1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-25",
Nsp6,ATP6AP1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-26",
M,ATP6V1A,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-27",
Nsp12,BCKDK,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-28",
Orf9c,BCS1L,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-29",
E,BRD2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-30",
M,BZW2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-31",
Nsp8,CCDC86,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-32",
Nsp13,CENPF,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-33",
