to,from
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,33
1,34
1,35
1,36
1,37
3,38
21,41
31,44
31,48
20,58
29,64
20,72
9,76
3,77
10,78
24,90
31,92
3,95
7,99
24,110
19,124
3,126
19,133
3,135
9,158
31,159
2,169
3,175
21,208
10,231
10,233
10,236
30,243
29,244
29,245
24,254
10,259
29,274
20,276
9,289
30,291
4,295
20,308
20,309
22,316
20,317
30,320
21,324
4,326
16,347
29,350
30,357
31,359
31,374
29,398
10,416
31,421
29,422
29,423
21,427
21,428
21,429
31,436
3,445
31,450
3,454
22,455
22,456
22,457
29,466
29,477
10,485
4,487
4,488
10,498
29,501
29,505
31,508
11,512
20,519
10,522
35,525
31,533
10,542
17,555
24,573
10,579
20,584
29,585
10,586
16,599
11,615
3,620
29,631
4,655
9,656
20,668
29,673
23,701
30,704
30,705
30,706
22,707
27,717
29,724
20,741
4,743
21,749
21,751
21,752
21,753
26,759
21,781
31,798
20,799
21,811
10,813
31,817
21,820
16,826
22,849
22,851
22,852
22,853
12,854
29,856
4,857
4,864
10,868
29,884
10,885
31,886
31,906
3,907
6,912
29,913
29,914
9,916
29,917
3,922
3,930
29,931
6,934
6,937
14,938
6,945
6,958
10,959
20,962
29,997
29,1010
20,1011
20,1017
20,1020
20,1021
20,1023
20,1030
20,1031
26,1032
14,1038
4,1041
23,1045
10,1051
3,1055
4,1056
4,1084
3,1097
3,1100
9,1104
20,1109
20,1119
20,1120
19,1130
29,1146
3,1147
14,1164
3,1169
3,1175
2,1176
30,1189
9,1202
21,1204
29,1231
3,1244
25,1250
24,1251
31,1268
3,1280
10,1281
10,1316
31,1317
31,1355
30,1360
20,1380
18,1383
3,1399
9,1414
9,1423
31,1424
29,1433
10,1436
31,1444
3,1477
35,1486
9,1500
3,1509
2,100
2,170
2,169
2,305
2,1492
2,1189
3,931
3,1486
3,126
3,49
3,424
3,1250
3,504
3,135
3,991
3,1056
3,930
3,95
3,912
3,1176
3,454
3,1175
3,1414
3,281
3,1104
3,1057
3,620
3,1164
3,1413
3,1281
3,1100
3,445
3,40
3,77
3,38
3,175
4,1097
4,868
4,295
4,296
4,487
4,869
4,655
4,446
4,1213
4,1439
4,743
4,488
4,326
4,1045
4,1084
35,525
35,1500
6,937
6,958
6,959
6,938
6,275
6,913
7,98
7,503
7,417
7,99
7,543
8,1285
9,1109
9,158
9,76
9,769
9,1204
9,1071
9,1424
9,1418
9,891
9,976
9,1423
9,1509
9,289
9,1446
9,1493
9,656
9,1048
9,1292
9,950
9,917
10,1289
10,250
10,586
10,884
10,238
10,961
10,960
10,962
10,1055
10,231
10,1316
10,1317
10,1318
10,523
10,522
10,526
10,542
10,237
10,886
10,233
10,239
10,268
10,416
10,498
10,259
10,813
10,232
10,736
10,1444
10,497
10,637
10,228
10,78
10,529
10,485
10,
10,236
10,1288
10,579
10,814
11,512
11,615
11,1148
12,857
12,105
12,1079
14,1169
14,389
14,945
14,1041
14,1471
14,467
14,509
16,599
16,1308
16,86
16,849
16,1312
16,347
16,1309
16,1314
17,555
18,540
18,1399
19,131
19,133
19,1146
19,124
20,72
20,308
20,58
20,309
20,1039
20,276
20,1030
20,1031
20,1032
20,1023
20,1017
20,1019
20,1068
20,1021
20,519
20,520
20,668
20,741
