id,label,group,level
1,SARS-Cov-2,main virus,1
2,E,viral protein,2
3,M,viral protein,2
4,N,viral protein,2
5,NCAP,viral protein,2
6,Nsp1,viral protein,2
7,Nsp10,viral protein,2
8,Nsp11,viral protein,2
9,Nsp12,viral protein,2
10,Nsp13,viral protein,2
11,Nsp14,viral protein,2
12,Nsp15,viral protein,2
13,Nsp16,viral protein,2
14,Nsp2,viral protein,2
15,Nsp3,viral protein,2
16,Nsp4,viral protein,2
17,Nsp5,viral protein,2
18,Nsp5_C145A,viral protein,2
19,Nsp6,viral protein,2
20,Nsp7,viral protein,2
21,Nsp8,viral protein,2
22,Nsp9,viral protein,2
23,Orf10,viral protein,2
24,Orf3a,viral protein,2
25,Orf3b,viral protein,2
26,Orf6,viral protein,2
27,Orf7a,viral protein,2
28,Orf7b,viral protein,2
29,Orf8,viral protein,2
30,Orf9b,viral protein,2
31,Orf9c,viral protein,2
32,PLpro,viral protein,2
33,R1A,viral protein,2
34,R1AB,viral protein,2
35,Spike,viral protein,2
36,Y14,viral protein,2
37,AAPK2,human protein,3
38,AAR2,human protein,3
39,AASDHPPT,human protein,3
40,AASS,human protein,3
41,AATF,human protein,3
42,ABCB10,human protein,3
43,ABCB8,human protein,3
44,ABCC1,human protein,3
45,ABCC10,human protein,3
46,ABHD16A,human protein,3
47,ABHD5,human protein,3
48,ACAD9,human protein,3
49,ACADM,human protein,3
50,ACADS,human protein,3
51,ACADSB,human protein,3
52,ACAT1,human protein,3
53,ACE2,human protein,3
54,ACLY,human protein,3
55,ACO1,human protein,3
56,ACP2,human protein,3
57,ACSF2,human protein,3
58,ACSL3,human protein,3
59,ACTR3,human protein,3
60,ACVR1,human protein,3
61,ACVR1B,human protein,3
62,ACVR2A,human protein,3
63,ADAM17,human protein,3
64,ADAM9,human protein,3
65,ADAMTS1,human protein,3
66,ADCY6,human protein,3
67,ADCY9,human protein,3
68,ADIPOR1,human protein,3
69,ADPGK,human protein,3
70,AGMAT,human protein,3
71,AGPAT3,human protein,3
72,AGPS,human protein,3
73,AHCYL1,human protein,3
74,AIFM1,human protein,3
75,AK4,human protein,3
76,AKAP8,human protein,3
77,AKAP8L,human protein,3
78,AKAP9,human protein,3
79,AKR1A1,human protein,3
80,AKR1B1,human protein,3
81,AKR7A2,human protein,3
82,AKT1,human protein,3
83,ALDH1A2,human protein,3
84,ALDH5A1,human protein,3
85,ALDOA,human protein,3
86,ALG11,human protein,3
87,ALG13,human protein,3
88,ALG14,human protein,3
89,ALG3,human protein,3
90,ALG5,human protein,3
91,ALG6,human protein,3
92,ALG8,human protein,3
93,AMIGO2,human protein,3
94,ANGPT4,human protein,3
95,ANO6,human protein,3
96,ANXA5,human protein,3
97,ANXA6,human protein,3
98,AP2A2,human protein,3
99,AP2M1,human protein,3
100,AP3B1,human protein,3
101,APH1A,human protein,3
102,APOB,human protein,3
103,APOOL,human protein,3
104,AREG,human protein,3
105,ARF6,human protein,3
106,ARFGEF1,human protein,3
107,ARFGEF2,human protein,3
108,ARFIP1,human protein,3
109,ARHGEF2,human protein,3
110,ARL6IP6,human protein,3
111,ARPC4,human protein,3
112,ARV1,human protein,3
113,ATAD3A,human protein,3
114,ATAD3B,human protein,3
115,ATE1,human protein,3
116,ATF3,human protein,3
117,ATF6,human protein,3
118,ATG9A,human protein,3
119,ATL2,human protein,3
120,ATM,human protein,3
121,ATP11C,human protein,3
122,ATP12A,human protein,3
123,ATP13A1,human protein,3
124,ATP13A3,human protein,3
125,ATP1A1,human protein,3
126,ATP1B1,human protein,3
127,ATP2A2,human protein,3
128,ATP2A3,human protein,3
129,ATP2B4,human protein,3
130,ATP5G3,human protein,3
131,ATP5MG,human protein,3
132,ATP6,human protein,3
133,ATP6AP1,human protein,3
134,ATP6V0A2,human protein,3
135,ATP6V1A,human protein,3
136,ATP6V1B1,human protein,3
137,ATP7B,human protein,3
138,ATP8B1,human protein,3
139,ATP8B2,human protein,3
140,ATR,human protein,3
141,AUP1,human protein,3
142,AURKA,human protein,3
143,AXL,human protein,3
144,B2M,human protein,3
145,B3GALT6,human protein,3
146,B3GAT3,human protein,3
147,B4GALT1,human protein,3
148,B4GALT7,human protein,3
149,B4GAT1,human protein,3
150,BAG2,human protein,3
151,BAG4,human protein,3
152,BAG5,human protein,3
153,BAG6,human protein,3
154,BAMBI,human protein,3
155,BCAM,human protein,3
156,BCAP31,human protein,3
157,BCAS2,human protein,3
158,BCKDK,human protein,3
159,BCS1L,human protein,3
160,BET1,human protein,3
161,BLM,human protein,3
162,BLVRA,human protein,3
163,BLVRB,human protein,3
164,BMPR1A,human protein,3
165,BMPR1B,human protein,3
166,BMPR2,human protein,3
167,BNIP3L,human protein,3
168,BOP1,human protein,3
169,BRD2,human protein,3
170,BRD4,human protein,3
171,BRI3BP,human protein,3
172,BROX,human protein,3
173,BSCL2,human protein,3
174,BTAF1,human protein,3
175,BZW2,human protein,3
176,C11orf24,human protein,3
177,C15orf39,human protein,3
178,C15orf61,human protein,3
179,C1orf159,human protein,3
180,C1orf174,human protein,3
181,C1orf50,human protein,3
182,C1ORF50,human protein,3
183,C1orf86; FAAP20,human protein,3
184,C1QBP,human protein,3
185,C1QL1,human protein,3
186,C2CD2,human protein,3
187,C4orf3,human protein,3
188,C5,human protein,3
189,C5orf15,human protein,3
190,C6orf120,human protein,3
191,CA12,human protein,3
192,CAAP1,human protein,3
193,CACNG6,human protein,3
194,CALD1,human protein,3
195,CALML5,human protein,3
196,CALU,human protein,3
197,CANT1,human protein,3
198,CANX,human protein,3
199,CAP1,human protein,3
200,CAPRIN1,human protein,3
201,CAPZA1,human protein,3
202,CAPZA2,human protein,3
203,CAPZB,human protein,3
204,CAV1,human protein,3
205,CAV2,human protein,3
206,CBR1,human protein,3
207,CCDC115,human protein,3
208,CCDC86,human protein,3
209,CCDC9,human protein,3
210,CCNG1,human protein,3
211,CCNT1,human protein,3
212,CCT3,human protein,3
213,CCT4,human protein,3
214,CCT5,human protein,3
215,CCT6A,human protein,3
216,CCT8,human protein,3
217,CD209,human protein,3
218,CD38,human protein,3
219,CD44,human protein,3
220,CD70,human protein,3
221,CD81,human protein,3
222,CD99,human protein,3
223,CD99L2,human protein,3
224,CDH16,human protein,3
225,CDH17,human protein,3
226,CDK1,human protein,3
227,CDK2,human protein,3
228,CDK5RAP2,human protein,3
229,CDK5RAP3,human protein,3
230,CELSR2,human protein,3
231,CENPF,human protein,3
232,CEP112,human protein,3
233,CEP135,human protein,3
234,CEP170,human protein,3
235,CEP170B,human protein,3
236,CEP250,human protein,3
237,CEP350,human protein,3
238,CEP43,human protein,3
239,CEP68,human protein,3
240,CERS1,human protein,3
241,CERS2,human protein,3
